2026-03-14T12:23:35.311Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-03-14T12:24:38.940Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{}},"clientInfo":{"name":"claude-code","version":"2.1.72"}} | SUCCESS | RESPONSE: null
2026-03-14T12:24:38.940Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{}},"clientInfo":{"name":"claude-code","version":"2.1.72"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false},"roots":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-03-14T12:24:38.948Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"get_ddl_sql_logs","description":"Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"49.234.16.160","MYSQL_PORT":"3318","MYSQL_USER":"dev","MYSQL_DATABASE":"yehwang_3","TOOL_PREFIX":"","PROJECT_NAME":"","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2026-03-14T12:24:39.055Z | connection_pool_created | {"host":"49.234.16.160","port":3318,"database":"yehwang_3","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2026-03-14T12:24:39.056Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-03-14T12:28:58.902Z | SIGINT | {"signal":"SIGINT"} | SUCCESS | RESPONSE: {"status":"shutting_down"}
2026-03-14T12:28:58.905Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-03-14T12:29:01.107Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-03-14T12:29:01.113Z | uncaughtException | {"error":"write EPIPE","stack":"Error: write EPIPE\n    at afterWriteDispatched (node:internal/stream_base_commons:161:15)\n    at writeGeneric (node:internal/stream_base_commons:152:3)\n    at Socket._writeGeneric (node:net:954:11)\n    at Socket._write (node:net:966:8)\n    at writeOrBuffer (node:internal/streams/writable:570:12)\n    at _write (node:internal/streams/writable:499:10)\n    at Writable.write (node:internal/streams/writable:508:10)\n    at console.value (node:internal/console/constructor:310:16)\n    at console.error (node:internal/console/constructor:394:26)\n    at main (/Users/chen/.nvm/versions/node/v20.18.0/lib/node_modules/@liangshanli/mcp-server-mysql/src/server-final.js:952:11)"} | write EPIPE | RESPONSE: null
2026-03-14T12:29:32.659Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-03-14T12:29:32.663Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{}},"clientInfo":{"name":"claude-code","version":"2.1.72"}} | SUCCESS | RESPONSE: null
2026-03-14T12:29:32.663Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{}},"clientInfo":{"name":"claude-code","version":"2.1.72"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false},"roots":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-03-14T12:29:32.670Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"get_ddl_sql_logs","description":"Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"49.234.16.160","MYSQL_PORT":"3318","MYSQL_USER":"dev","MYSQL_DATABASE":"yehwang_3","TOOL_PREFIX":"","PROJECT_NAME":"","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2026-03-14T12:29:32.749Z | connection_pool_created | {"host":"49.234.16.160","port":3318,"database":"yehwang_3","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2026-03-14T12:29:32.749Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-03-14T19:39:02.389Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-03-14T19:39:02.477Z | connection_pool_recreated | {"host":"49.234.16.160","port":3318,"database":"yehwang_3"} | SUCCESS | RESPONSE: {"status":"success"}
2026-03-14T21:32:26.775Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-03-14T21:32:26.878Z | connection_pool_recreated | {"host":"49.234.16.160","port":3318,"database":"yehwang_3"} | SUCCESS | RESPONSE: {"status":"success"}
2026-03-14T23:06:03.781Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-03-14T23:06:04.388Z | connection_pool_recreated | {"host":"49.234.16.160","port":3318,"database":"yehwang_3"} | SUCCESS | RESPONSE: {"status":"success"}
2026-03-15T01:03:10.671Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-03-15T01:03:11.114Z | connection_pool_recreated | {"host":"49.234.16.160","port":3318,"database":"yehwang_3"} | SUCCESS | RESPONSE: {"status":"success"}
2026-03-15T07:36:09.512Z | connection_pool_close_error | {"error":"read ETIMEDOUT"} | read ETIMEDOUT | RESPONSE: null
2026-03-15T07:36:09.560Z | connection_pool_close_error | {"error":"Can't add new command when connection is in closed state"} | Can't add new command when connection is in closed state | RESPONSE: null
2026-03-15T07:36:10.155Z | connection_pool_recreated | {"host":"49.234.16.160","port":3318,"database":"yehwang_3"} | SUCCESS | RESPONSE: {"status":"success"}
2026-03-15T07:36:10.161Z | connection_pool_recreated | {"host":"49.234.16.160","port":3318,"database":"yehwang_3"} | SUCCESS | RESPONSE: {"status":"success"}
2026-03-15T07:49:35.589Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-03-15T07:49:35.676Z | connection_pool_recreated | {"host":"49.234.16.160","port":3318,"database":"yehwang_3"} | SUCCESS | RESPONSE: {"status":"success"}
2026-03-15T12:43:52.569Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-03-15T12:43:52.651Z | connection_pool_recreated | {"host":"49.234.16.160","port":3318,"database":"yehwang_3"} | SUCCESS | RESPONSE: {"status":"success"}
2026-03-15T15:00:38.277Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-03-15T15:00:38.358Z | connection_pool_recreated | {"host":"49.234.16.160","port":3318,"database":"yehwang_3"} | SUCCESS | RESPONSE: {"status":"success"}
2026-03-15T18:01:34.794Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-03-15T18:01:34.882Z | connection_pool_recreated | {"host":"49.234.16.160","port":3318,"database":"yehwang_3"} | SUCCESS | RESPONSE: {"status":"success"}
2026-03-16T00:01:10.343Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-03-16T00:01:10.415Z | connection_pool_recreated | {"host":"49.234.16.160","port":3318,"database":"yehwang_3"} | SUCCESS | RESPONSE: {"status":"success"}
2026-03-16T01:42:51.584Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-03-16T01:42:51.698Z | connection_pool_recreated | {"host":"49.234.16.160","port":3318,"database":"yehwang_3"} | SUCCESS | RESPONSE: {"status":"success"}
2026-03-16T03:21:45.735Z | SIGINT | {"signal":"SIGINT"} | SUCCESS | RESPONSE: {"status":"shutting_down"}
2026-03-16T03:21:45.737Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-03-16T03:21:47.942Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-03-16T03:21:47.946Z | uncaughtException | {"error":"write EPIPE","stack":"Error: write EPIPE\n    at afterWriteDispatched (node:internal/stream_base_commons:161:15)\n    at writeGeneric (node:internal/stream_base_commons:152:3)\n    at Socket._writeGeneric (node:net:954:11)\n    at Socket._write (node:net:966:8)\n    at writeOrBuffer (node:internal/streams/writable:570:12)\n    at _write (node:internal/streams/writable:499:10)\n    at Writable.write (node:internal/streams/writable:508:10)\n    at console.value (node:internal/console/constructor:310:16)\n    at console.error (node:internal/console/constructor:394:26)\n    at main (/Users/chen/.nvm/versions/node/v20.18.0/lib/node_modules/@liangshanli/mcp-server-mysql/src/server-final.js:952:11)"} | write EPIPE | RESPONSE: null
